number,title,cluster,proposedMilestone,proposedHorizon,severity,recommendedDisposition,dependencies,url
5,Accept the full local collector repository-name domain in v1 migration,activation-storage,v0.3-safe-activation,later,medium,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/5
6,Reject duplicate repository identities and pin installation-key continuity before real migration,activation-storage,v0.3-safe-activation,later,high,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/6
41,Harden C1 ancient-year range arithmetic,platform-hardening,later,later,low,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/41
55,Harden reflection-question layer semantics and small-copy readability,ux-hardening,later,later,low,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/55
57,Reject undersized two-probe request budgets before runtime binding,activation-storage,v0.3-safe-activation,later,medium,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/57
59,Define recovery for failed installation-key creation,activation-storage,v0.3-safe-activation,later,medium,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/59
66,RAG eligible-set ceiling (50k pre-rank prefix) is role-blind and support-ordered,frozen-research,research-later,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/66
68,"Frozen WB: FDR governance — tier-selected BH/BY, online-FDR first-test accounting, preallocated-BH decision point",frozen-research,research-later,later,high,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/68
69,Frozen DL-RAG-01: reserve supports_min quota before contextualizes rows consume the candidate budget,frozen-research,research-later,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/69
76,DL-SPINE-05 registry finishing: source_diversity clamp decision + producer-absence limiting codes,product-evidence,v0.2-evidence-flagship,next,medium,schedule-next,,https://github.com/Chris0Jeky/developer-lens/issues/76
80,DL-LIFE-02: claim-graph deletion seam — NO ACTION FKs abort scope erasure; scope binding; C2 retention sweeper,product-evidence,v0.2-evidence-flagship,next,high,schedule-next,#174,https://github.com/Chris0Jeky/developer-lens/issues/80
86,coverage_id embeds the collection scope_alias and now travels inside C1 claim-graph identifiers — re-mint content-free before real collection,activation-storage,v0.3-safe-activation,later,high,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/86
135,Evidence resolve contract: residual semantic-coherence refinements,product-evidence,v0.2-evidence-flagship,next,medium,schedule-next,#174,https://github.com/Chris0Jeky/developer-lens/issues/135
142,Storage v3: enforce one writer; native file binding before hostile-writer claims,activation-storage,v0.3-safe-activation,later,high,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/142
168,LIFE-03 restore: persist an external immutable selection proof,activation-storage,v0.3-safe-activation,later,high,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/168
174,Phase E: bridge stored observations into a second evidence-aware lens,product-evidence,v0.2-evidence-flagship,next,critical,schedule-next,,https://github.com/Chris0Jeky/developer-lens/issues/174
177,LIFE-03: bind restore timestamp replay to verified selection,activation-storage,v0.3-safe-activation,later,medium,park-with-trigger,#202,https://github.com/Chris0Jeky/developer-lens/issues/177
181,Encode ResearchPack runtime refinements in standalone JSON Schema,contract-system,v0.2-contracts,next,medium,schedule-next,,https://github.com/Chris0Jeky/developer-lens/issues/181
182,Harden ResearchPack semantic consistency after v1 producer,contract-system,v0.2-contracts,next,high,schedule-next,,https://github.com/Chris0Jeky/developer-lens/issues/182
183,Optimize very-large scope revocation deletion throughput,activation-storage,v0.3-safe-activation,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/183
189,Harden MethodTrialView parity and accessible missing-state rendering,contract-system,v0.2-contracts,later,medium,park-with-trigger,,https://github.com/Chris0Jeky/developer-lens/issues/189
200,"P0.5: v0.1.0 release programme — AGPL-3.0-only, community scaffolding, C0 release assets",release-truth,v0.1-release,now,critical,do-now,,https://github.com/Chris0Jeky/developer-lens/issues/200
